"matricula","nome","cod_func_lotacao","desc_func_lotacao","cod_uor_localizacao","uor_trabalho","data_nasc","sexo","cod_est_civil","est_civil","data_posse","data_posse_incorp","cod_grau_instr","grau_instr","tempo_banco"
c07c32499f39d829f32c9cc3b4b0db61,babff9bee524fc2b2eec3656ac18db76,"394",CAIXA EXECUTIVO,"8ab40c2001dceb9682e4c6e10cb75b64","8ab40c2001dceb9682e4c6e10cb75b64","1980-04-21",1,"2",CASADO(A),"2004-12-13",,5,SUPERIOR GRADUACAO,18
"0d7f68ccb76fb613742ebc8a89dfaf8e","27f048b0ceec2948bd1d52d1af266818","394",CAIXA EXECUTIVO,ad55e398ed3507d800f529e3d8dd4279,ad55e398ed3507d800f529e3d8dd4279,"1976-09-22",1,"1",SOLTEIRO(A),"2000-03-20",,3,SUPERIOR EM ANDAMENTO,23
c85e8160c57343cca1d6180d30553f09,fd1c126a6397b534d9cb31967d97951c,"394",CAIXA EXECUTIVO,"976d9bbe9bc487a4d9b6d1d21a1ef9da","0891f5ce1c97f4207820d208852e4133","1974-10-27",1,"1",SOLTEIRO(A),"2005-07-18",,5,SUPERIOR GRADUACAO,17
"5f6b5c9bd8ad48e26c15ea2befca4906","22c523b9bd7d566e0796bb87f2b86c62","610",ESCRITURARIO,cba7cb69ae18ed3db653881ccc3fc392,cba7cb69ae18ed3db653881ccc3fc392,"1966-06-24",1,"2",CASADO(A),"1987-05-13",,5,SUPERIOR GRADUACAO,35
"178fd4317c9949dac64419f2be33b327","2e2490823802b6249a2e1b13879db301","394",CAIXA EXECUTIVO,"82ca8115d5ab8e7e05139f1cea2c5e67","82ca8115d5ab8e7e05139f1cea2c5e67","1983-09-03",1,"1",SOLTEIRO(A),"2013-04-22",,5,SUPERIOR GRADUACAO,9
"9ebd5d4a27e86f6ba2ee37be7c6c6669","319ead31026ba87f294a9add2102c63a","610",ESCRITURARIO,e40cb7cbd1724f30edb381d7d4ef9b0a,e40cb7cbd1724f30edb381d7d4ef9b0a,"1983-07-29",2,"2",CASADO(A),"2013-04-22",,7,POS-GRADUCAO-ESPEC,9
"16dc7b4b719139a69b52658e9d412b29","5affcb9f08327f2f69047e53a91bf7cd","16290",GER MODULO UA,"164c6720de3ff62c43a3691eb7ff164c",cec17cfe3c00623bb2a2feca4749f997,"1985-06-05",1,"1",SOLTEIRO(A),"2013-04-22",,2,ENSINO MEDIO,9
"12a1720d6066df3099aca3f7f9937ae2",f79bd65ef5e6f12ab2baa4d576fe1f45,"394",CAIXA EXECUTIVO,"1394985202ea63bcbc29d6db7df35287","5b678a5a0025e991bbdc24dde1cd264c","1983-04-05",2,"1",SOLTEIRO(A),"2013-04-22",,7,POS-GRADUCAO-ESPEC,9
"6746c142f91442a77b88a0919b21590c","2020717af28d48bc57d5ea3b2b6963df","16235",GER SEGMENTO UA,"318a8bef91ec0f33317368813e8103c1","318a8bef91ec0f33317368813e8103c1","1966-10-10",1,"2",CASADO(A),"2000-05-08",,7,POS-GRADUCAO-ESPEC,22
"13ca6c16723e388a1a9c904ec778265e","15ad2a42898331245ce39ceacc53aad5","394",CAIXA EXECUTIVO,"81d4fe70c6ad96d9c45694cf58544e26",e65076d21d4b718526e684473c359d55,"1966-05-03",1,"2",CASADO(A),"2009-12-01","1990-03-19",5,SUPERIOR GRADUACAO,13
d00f2ddcfccd8c05eda8bfb52f72ece6,"0680f1f480eb7c5921527b5e8863420b","394",CAIXA EXECUTIVO,"56aaefc7d8eb089c68915aea1067bfef",cbb17d156992c352039cdc7374e915a6,"1964-05-08",1,"2",CASADO(A),"2009-12-01","1985-03-05",5,SUPERIOR GRADUACAO,13
